size,threshold,random,reversed,almost_sorted
500,5,154,129,124
500,10,118,95,90
500,15,111,88,82
500,20,101,75,66
500,30,95,75,66
500,50,84,72,49
600,5,178,151,144
600,10,142,110,104
600,15,139,110,103
600,20,118,100,79
600,30,116,90,77
600,50,105,92,58
700,5,226,198,188
700,10,200,170,153
700,15,163,124,117
700,20,160,127,116
700,30,143,111,88
700,50,129,118,70
800,5,286,247,231
800,10,223,181,176
800,15,182,140,129
800,20,186,142,129
800,30,158,125,98
800,50,151,151,76
900,5,313,260,252
900,10,245,196,185
900,15,206,156,144
900,20,205,156,141
900,30,178,143,109
900,50,180,145,110
1000,5,340,280,271
1000,10,270,211,202
1000,15,254,196,183
1000,20,224,172,156
1000,30,223,171,155
1000,50,201,166,119
1100,5,362,298,290
1100,10,294,228,218
1100,15,298,231,221
1100,20,246,188,167
1100,30,249,187,167
1100,50,225,188,134
1200,5,393,317,311
1200,10,321,245,232
1200,15,318,259,231
1200,20,274,213,181
1200,30,270,208,184
1200,50,252,216,147
1300,5,424,348,332
1300,10,356,279,260
1300,15,341,265,248
1300,20,307,239,211
1300,30,293,225,194
1300,50,270,237,152
1400,5,499,432,400
1400,10,434,347,340
1400,15,367,280,261
1400,20,362,279,266
1400,30,318,245,205
1400,50,297,266,163
1500,5,578,477,461
1500,10,473,371,358
1500,15,390,296,279
1500,20,390,299,276
1500,30,342,266,218
1500,50,330,294,173
1600,5,624,514,506
1600,10,496,393,375
1600,15,419,314,292
1600,20,420,314,291
1600,30,369,292,231
1600,50,349,321,185
1700,5,649,538,518
1700,10,516,408,392
1700,15,442,331,307
1700,20,440,332,306
1700,30,394,308,244
1700,50,389,305,244
1800,5,676,553,538
1800,10,549,424,407
1800,15,468,351,324
1800,20,461,350,323
1800,30,412,328,260
1800,50,413,328,257
1900,5,717,577,561
1900,10,568,443,427
1900,15,486,369,335
1900,20,488,368,334
1900,30,437,355,270
1900,50,436,351,270
2000,5,744,599,592
2000,10,598,465,443
2000,15,575,442,413
2000,20,514,394,353
2000,30,526,394,349
2000,50,469,379,283
2100,5,774,630,606
2100,10,625,481,462
2100,15,625,483,461
2100,20,545,408,368
2100,30,542,410,373
2100,50,495,401,298
2200,5,796,644,629
2200,10,649,501,481
2200,15,648,502,481
2200,20,563,427,384
2200,30,561,426,384
2200,50,512,422,311
2300,5,825,657,646
2300,10,678,519,499
2300,15,677,522,498
2300,20,593,442,400
2300,30,590,443,402
2300,50,540,449,325
2400,5,847,683,665
2400,10,706,540,515
2400,15,699,541,514
2400,20,614,468,411
2400,30,620,466,415
2400,50,563,473,342
2500,5,876,710,694
2500,10,739,571,533
2500,15,729,574,545
2500,20,640,490,434
2500,30,640,494,427
2500,50,601,503,349
2600,5,926,744,718
2600,10,778,604,577
2600,15,756,602,552
2600,20,700,528,477
2600,30,676,505,442
2600,50,621,534,368
2700,5,1013,817,796
2700,10,887,689,661
2700,15,789,600,570
2700,20,789,600,565
2700,30,700,537,462
2700,50,652,562,377
2800,5,1089,880,852
2800,10,977,768,747
2800,15,818,636,585
2800,20,809,626,583
2800,30,718,561,472
2800,50,675,596,386
2900,5,1188,958,936
2900,10,1016,800,763
2900,15,852,667,604
2900,20,856,640,604
2900,30,752,578,498
2900,50,711,621,411
3000,5,1254,1039,999
3000,10,1048,808,806
3000,15,868,659,633
3000,20,881,658,620
3000,30,773,605,504
3000,50,744,650,422
3100,5,1314,1090,1057
3100,10,1074,841,840
3100,15,924,685,638
3100,20,908,682,648
3100,30,800,620,527
3100,50,780,694,432
3200,5,1339,1105,1077
3200,10,1088,853,817
3200,15,919,694,658
3200,20,918,695,664
3200,30,826,649,536
3200,50,796,707,436
3300,5,1376,1146,1103
3300,10,1107,864,838
3300,15,960,719,682
3300,20,952,715,685
3300,30,864,678,556
3300,50,873,675,546
3400,5,1405,1169,1132
3400,10,1153,896,877
3400,15,976,745,689
3400,20,985,740,690
3400,30,880,698,573
3400,50,876,697,564
3500,5,1440,1170,1148
3500,10,1170,929,883
3500,15,1006,778,722
3500,20,999,760,705
3500,30,924,729,580
3500,50,912,722,585
3600,5,1486,1185,1172
3600,10,1209,934,905
3600,15,1037,773,733
3600,20,1060,772,725
3600,30,959,758,600
3600,50,952,744,622
3700,5,1513,1224,1202
3700,10,1236,963,931
3700,15,1069,806,749
3700,20,1073,794,754
3700,30,967,765,628
3700,50,982,772,636
3800,5,1544,1253,1210
3800,10,1263,985,938
3800,15,1085,819,784
3800,20,1087,810,763
3800,30,991,803,636
3800,50,1020,792,629
3900,5,1569,1294,1229
3900,10,1292,1004,957
3900,15,1169,866,828
3900,20,1113,835,791
3900,30,1094,826,698
3900,50,1037,809,652
4000,5,1587,1305,1257
4000,10,1309,1024,993
4000,15,1259,966,915
4000,20,1157,863,792
4000,30,1133,872,796
4000,50,1079,851,654
4100,5,1618,1319,1299
4100,10,1347,1028,1011
4100,15,1336,1029,1014
4100,20,1184,874,814
4100,30,1168,888,805
4100,50,1083,874,666
4200,5,1652,1350,1314
4200,10,1361,1063,1037
4200,15,1384,1070,1024
4200,20,1203,895,824
4200,30,1188,901,829
4200,50,1124,908,696
4300,5,1674,1349,1315
4300,10,1406,1071,1049
4300,15,1396,1072,1035
4300,20,1220,927,844
4300,30,1217,922,843
4300,50,1140,938,697
4400,5,1713,1362,1343
4400,10,1430,1092,1054
4400,15,1428,1094,1056
4400,20,1241,941,858
4400,30,1249,941,860
4400,50,1168,954,712
4500,5,1740,1391,1366
4500,10,1455,1110,1072
4500,15,1452,1110,1073
4500,20,1279,963,880
4500,30,1275,966,876
4500,50,1203,980,732
4600,5,1773,1407,1397
4600,10,1499,1139,1089
4600,15,1505,1138,1104
4600,20,1315,997,896
4600,30,1311,976,893
4600,50,1235,1010,745
4700,5,1810,1455,1411
4700,10,1520,1162,1109
