size,random,reversed,almost_sorted
500,305,276,277
600,369,333,328
700,441,399,382
800,502,458,448
900,574,508,499
1000,622,569,556
1100,700,632,622
1200,767,696,695
1300,839,762,745
1400,903,818,805
1500,975,874,865
1600,1036,937,918
1700,1117,1003,987
1800,1184,1056,1046
1900,1232,1104,1098
2000,1325,1186,1157
2100,1400,1248,1244
2200,1462,1310,1304
2300,1533,1380,1351
2400,1609,1437,1430
2500,1682,1503,1494
2600,1761,1567,1554
2700,1833,1629,1618
2800,1917,1722,1682
2900,1970,1789,1738
3000,2039,1811,1804
3100,2143,1911,1851
3200,2183,1949,1919
3300,2242,2010,2002
3400,2339,2096,2089
3500,2430,2152,2142
3600,2460,2234,2200
3700,2558,2320,2278
3800,2658,2353,2328
3900,2722,2405,2360
4000,2752,2465,2478
4100,2888,2896,2506
4200,2895,2590,2555
4300,3006,2638,2629
4400,3021,2697,2668
4500,3094,2759,2734
4600,3186,2831,2816
4700,3258,2908,2889
4800,3331,2961,2946
4900,3404,3032,3018
5000,3494,3129,3101
5100,3541,3154,3142
5200,3627,3238,3203
5300,3744,3345,3291
5400,3816,3386,3351
5500,3868,3442,3412
5600,3973,3525,3462
5700,4022,3601,3597
5800,4069,3627,3566
5900,4236,3731,3734
6000,4227,3762,3734
6100,4295,3774,3718
6200,4336,3864,3810
6300,4423,3932,3879
6400,4524,4014,3987
6500,4598,4061,4018
6600,4654,4141,4090
6700,4702,4178,4129
6800,4774,4217,4167
6900,4897,4320,4264
7000,4958,4366,4359
7100,5031,4479,4450
7200,5067,4508,4490
7300,5194,4595,4573
7400,5242,4653,4618
7500,5331,4701,4653
7600,5380,4808,4740
7700,5455,4824,4810
7800,5515,4893,4851
7900,5593,4972,4922
8000,5715,5022,4980
8100,5727,5060,5013
8200,5782,5212,5120
8300,5924,5203,5155
8400,5986,5279,5212
8500,6042,5392,5295
8600,6125,5464,5380
8700,6211,5490,5434
8800,6312,5573,5496
8900,6371,5655,5576
9000,6464,5717,5661
9100,6501,5787,5738
9200,6594,5819,5792
9300,6709,5913,5859
9400,7337,6421,6308
9500,6977,6159,6189
9600,7000,6135,6098
9700,7030,6231,6231
9800,7178,6296,6310
9900,7288,6450,6496
10000,7257,6405,6352
10100,7320,6470,6433
10200,7379,6490,6443
10300,7466,6591,6516
10400,7504,6669,6629
10500,7614,6715,6659
10600,7704,6808,6764
10700,7749,6874,6835
10800,7880,6913,6905
10900,7918,7033,6931
11000,7987,7036,7005
11100,8114,7144,7051
11200,8164,7201,7152
11300,8472,7481,7338
11400,8304,7316,7245
11500,8404,7365,7372
11600,8447,7459,7389
11700,8501,7508,7428
11800,8569,7589,7520
11900,8650,7646,7577
12000,8710,7692,7638
12100,8804,7775,7673
12200,8875,7827,7747
12300,8911,7832,7766
12400,9013,7949,7886
12500,9075,8020,7957
12600,9201,8088,8049
12700,9256,8159,8101
12800,9367,8293,8177
12900,9420,8305,8242
13000,9533,8357,8291
13100,9612,8472,8363
13200,9679,8512,8440
13300,9760,8601,8539
13400,9815,8646,8587
13500,9889,8722,8633
13600,9972,8821,8710
13700,10222,8960,8859
13800,10425,9108,9143
13900,10336,9114,9055
14000,10486,9202,9116
14100,10441,9141,9053
14200,10482,9204,9110
14300,10566,9319,9276
14400,10540,9287,9294
14500,10753,9481,9348
14600,10932,9643,9499
14700,10864,9528,9451
14800,10981,9641,9596
14900,11049,9691,9664
15000,11434,9816,9741
15100,11215,9852,9774
15200,11269,9912,9921
15300,11410,9921,9796
15400,11471,10116,9947
15500,11521,10095,10040
15600,11532,10194,10056
15700,11619,10227,10167
15800,11825,10321,10226
15900,11753,10343,10233
16000,11838,10481,10335
16100,11813,10465,10296
16200,11921,10604,10485
16300,12128,10630,10593
16400,12063,10547,10511
16500,12221,10698,10682
16600,12542,11025,10942
16700,12392,10930,10822
16800,12412,10901,10821
16900,12580,11005,10927
17000,12771,11189,11001
17100,12633,11180,10977
17200,12698,11136,11118
17300,12855,11385,11257
17400,12924,11374,11259
17500,12963,11374,11359
17600,13067,11456,11481
17700,13234,11584,11581
17800,13362,11776,11704
17900,13302,11752,11682
18000,13606,11924,11916
18100,13556,11872,11884
18200,13706,11955,11961
18300,13789,12279,12196
18400,14216,12282,13292
18500,13911,12179,12087
18600,13982,12252,12188
18700,14059,12311,12280
18800,14062,12379,12319
18900,14199,12490,12446
19000,14372,12675,12584
19100,14841,12728,12604
19200,14681,12956,14390
19300,14595,12835,12782
19400,14808,12963,13829
19500,16027,12992,12873
19600,14803,13051,12899
19700,14855,13105,13029
19800,15037,13224,13067
19900,15037,13466,14308
20000,15296,13305,13239
20100,15142,14366,13904
20200,15316,13429,13372
